id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
a41eEenOJO3wvOuGtbFX5g,Muniyandi Vilas,40.0,4.0,48.8838873,2.35912310000006,€,Pajol - Place Herbert,indpak,Indian,25,velib
a41eEenOJO3wvOuGtbFX5g,Muniyandi Vilas,40.0,4.0,48.8838873,2.35912310000006,€,Pajol - Place Herbert,srilankan,Sri Lankan,25,velib
C0PIvZ7tUKdxi7CLIk2w4g,Café Kaldi,5.0,5.0,48.85824,2.43603,€,Lucie Aubrac - Franklin,coffee,Coffee & Tea,4,velib
QiHeh_-Nmek410nrWXuJTQ,Le Drunken,6.0,4.5,48.85718,2.43397,0,Lucie Aubrac - Franklin,beerbar,Beer Bar,4,velib
QiHeh_-Nmek410nrWXuJTQ,Le Drunken,6.0,4.5,48.85718,2.43397,0,Lucie Aubrac - Franklin,french,French,4,velib
iSXAiRhlSfvXs4BczLSV1A,Bustronome,21.0,4.5,48.87276,2.294027,€€€€,Lucie Aubrac - Franklin,french,French,4,velib
iSXAiRhlSfvXs4BczLSV1A,Bustronome,21.0,4.5,48.87276,2.294027,€€€€,Lucie Aubrac - Franklin,foodtours,Food Tours,4,velib
Q_Gz6_pMA3VpYbdyOMQjdg,Coach jardin,3.0,5.0,48.8819885,2.1854501,0,Lucie Aubrac - Franklin,gardeners,Gardeners,4,velib
Q_Gz6_pMA3VpYbdyOMQjdg,Coach jardin,3.0,5.0,48.8819885,2.1854501,0,Lucie Aubrac - Franklin,parks,Parks,4,velib
Q_Gz6_pMA3VpYbdyOMQjdg,Coach jardin,3.0,5.0,48.8819885,2.1854501,0,Lucie Aubrac - Franklin,landscapearchitects,Landscape Architects or Designers,4,velib
KqZSk4_ugXe5SZSfQsafNA,Le Réfectoire - Foodtruck,12.0,4.5,48.8569297790527,2.34120011329651,€€,Lucie Aubrac - Franklin,foodtrucks,Food Trucks,4,velib
KqZSk4_ugXe5SZSfQsafNA,Le Réfectoire - Foodtruck,12.0,4.5,48.8569297790527,2.34120011329651,€€,Lucie Aubrac - Franklin,burgers,Burgers,4,velib
eakoVR0HKMvjtEsBILvmaQ,Apsara,8.0,4.5,48.8683282499801,2.43209838867188,€,Lucie Aubrac - Franklin,panasian,Pan Asian,4,velib
YwfVd74eOszith6k5CPLvQ,Glacier Martinez,2.0,5.0,48.86259,2.44214,0,Lucie Aubrac - Franklin,icecream,Ice Cream & Frozen Yogurt,4,velib
YwfVd74eOszith6k5CPLvQ,Glacier Martinez,2.0,5.0,48.86259,2.44214,0,Lucie Aubrac - Franklin,foodtrucks,Food Trucks,4,velib
7MKN5a6TVwdwtuCtOdbf-A,Casa Lovi,8.0,4.5,48.8576012,2.43314,€€,Lucie Aubrac - Franklin,italian,Italian,4,velib
7MKN5a6TVwdwtuCtOdbf-A,Casa Lovi,8.0,4.5,48.8576012,2.43314,€€,Lucie Aubrac - Franklin,pizza,Pizza,4,velib
FU8FjsdashthkGM_GhB2gw,La Bottega Della Pizza,2.0,5.0,48.8601831970923,2.43885319679975,0,Lucie Aubrac - Franklin,pizza,Pizza,4,velib
qmFnpvyjP3708OPjyDupxA,La Romainville,3.0,4.5,48.8599391,2.4390436,€€,Lucie Aubrac - Franklin,desserts,Desserts,4,velib
qmFnpvyjP3708OPjyDupxA,La Romainville,3.0,4.5,48.8599391,2.4390436,€€,Lucie Aubrac - Franklin,cakeshop,Patisserie/Cake Shop,4,velib
qmFnpvyjP3708OPjyDupxA,La Romainville,3.0,4.5,48.8599391,2.4390436,€€,Lucie Aubrac - Franklin,macarons,Macarons,4,velib
appCOYTQUEIwoMxvos4Xug,Villa 9 Trois,28.0,4.0,48.86391,2.43313,€€€€,Lucie Aubrac - Franklin,french,French,4,velib
Vtf3s-f-EK5V1ONUxW_I5w,Le Garage à Crêpes,1.0,5.0,48.8558197,2.44221,0,Lucie Aubrac - Franklin,creperies,Creperies,4,velib
cApHABm0BGS4xBsOdm2ukA,Le Jardin de Montreuil,10.0,4.0,48.8534,2.4348,€€€,Lucie Aubrac - Franklin,french,French,4,velib
Uon80EaNfcoxmpr5SS8HoQ,El Pincho,1.0,5.0,48.8576696,2.4342436,0,Lucie Aubrac - Franklin,spanish,Spanish,4,velib
Uon80EaNfcoxmpr5SS8HoQ,El Pincho,1.0,5.0,48.8576696,2.4342436,0,Lucie Aubrac - Franklin,cocktailbars,Cocktail Bars,4,velib
Uon80EaNfcoxmpr5SS8HoQ,El Pincho,1.0,5.0,48.8576696,2.4342436,0,Lucie Aubrac - Franklin,tapas,Tapas Bars,4,velib
ijKib0GFoY6mk02kdWyXRw,La Station Services,1.0,5.0,48.86012,2.43926,0,Lucie Aubrac - Franklin,french,French,4,velib
ijKib0GFoY6mk02kdWyXRw,La Station Services,1.0,5.0,48.86012,2.43926,0,Lucie Aubrac - Franklin,bars,Bars,4,velib
KihX5t1xFbRgPHh22TW6xg,Duchet Christophe,1.0,5.0,48.85581,2.43972,0,Lucie Aubrac - Franklin,bakeries,Bakeries,4,velib
2vMVSmKactz_MjYkfLd-PQ,Le Chinois,4.0,4.5,48.858369,2.434087,€,Lucie Aubrac - Franklin,bars,Bars,4,velib
-gAuYHPoJ0vGSl5uaBHHRQ,I Love Asie,1.0,5.0,48.854229,2.4321101,0,Lucie Aubrac - Franklin,chinese,Chinese,4,velib
jYCDR_9ACz159NXRvQOKww,Le Mange Disc,8.0,4.0,48.8658135,2.4466307,€€,Lucie Aubrac - Franklin,danceclubs,Dance Clubs,4,velib
jYCDR_9ACz159NXRvQOKww,Le Mange Disc,8.0,4.0,48.8658135,2.4466307,€€,Lucie Aubrac - Franklin,pubs,Pubs,4,velib
HV4cQ4pz7qVyYb3I1T4fyg,Restaurant Filippo,7.0,4.0,48.8581999,2.43616,€€,Lucie Aubrac - Franklin,french,French,4,velib
nqb3iKcboDnrGpL3xrq23Q,Tu Fais ta Crêpe,6.0,5.0,48.85002,2.28913,0,Joseph Liouville - Croix Nivert,creperies,Creperies,32,velib
sAeOKc8TxV0Q_b2cVMJ6Zg,Flirt'The,5.0,5.0,48.8537336,2.3073545,0,Joseph Liouville - Croix Nivert,coffee,Coffee & Tea,32,velib
