category_alias,category_title,id
bakeries,Bakeries,uC6oGEIhxbHkxWh9sWt9UQ
cakeshop,Patisserie/Cake Shop,uC6oGEIhxbHkxWh9sWt9UQ
french,French,UOmgK6Oy_fKFRnvJp-SUcQ
buffets,Buffets,rd-ykFOuI9gn-UHcfnvZug
cafes,Cafes,AM-dAoV3ml9qh8uUA01hcQ
hotdogs,Fast Food,IuhDehq9gGemhVGv6KhtVg
panasian,Pan Asian,aoSpk8o4p3_S9K1hyVlfiA
moroccan,Moroccan,uq5EKr6Svd5FAwZzxuqzUg
kebab,Kebab,uj_v0_LTwoYmYGungr3FHg
japanese,Japanese,7r-ANIFQqnrtvBvn-VRIXw
bakeries,Bakeries,aJTt8qla7JCvHinFFItqtw
chinese,Chinese,7WpJLW-vYPajCQHyz7yGNQ
japanese,Japanese,7WpJLW-vYPajCQHyz7yGNQ
thai,Thai,7WpJLW-vYPajCQHyz7yGNQ
french,French,7MieRU5mjHFYRSM7z0_q1g
pizza,Pizza,VrH8xoBBJGEeLtlo5NrOvQ
bakeries,Bakeries,BLDWxqOz6U69P0911bqiCA
salad,Salad,BLDWxqOz6U69P0911bqiCA
sandwiches,Sandwiches,BLDWxqOz6U69P0911bqiCA
portuguese,Portuguese,8JhRUhvPEl_Q-sDmnj0NsA
thai,Thai,yp-I506wcdZUHypd4zuooA
hotdogs,Fast Food,AvKA521ZWk5Lh7Lv9rmf5Q
burgers,Burgers,AvKA521ZWk5Lh7Lv9rmf5Q
italian,Italian,AmguhHa6Q8aSr_NiIdlWvA
italian,Italian,I4NfOByPb4OYsI0LIARXyA
buffets,Buffets,I4NfOByPb4OYsI0LIARXyA
chinese,Chinese,dSjbVNMQQwyp6mQMjWyZNQ
