category_id,category,fsq_id
13065,Restaurant,4c41a17ea5c5ef3b1548b06f
13025,Wine Bar,52fd1a6a498e72d4549b57cd
13065,Restaurant,52fd1a6a498e72d4549b57cd
13065,Restaurant,595bcb1c2be425119f0050e0
13289,Korean Restaurant,528f41f5498ed26b82536630
10027,Museum,4bbddcf1593fef3b31ea0356
13064,Pizzeria,543d1c33498ea4de49ae21d7
13025,Wine Bar,4ea428a1b6347b996880466f
13035,Coffee Shop,4ea428a1b6347b996880466f
13065,Restaurant,4ea428a1b6347b996880466f
17080,Wine Store,51f7e0cc498e74d93869d809
13035,Coffee Shop,614d8771abc3d4417580cb29
18043,Racquetball Club,4be3d3e6cbdbef3bf8a360d8
13152,Brasserie,4bb7179b2ea19521f38aac2f
16017,Garden,4bf7e54b5efe2d7f1daa6934
18001,Athletic Field,4adcda15f964a520c43721e3
18000,Sports and Recreation,4adcda16f964a520273821e3
13027,Bistro,4bab6466f964a520d1a53ae3
13148,French Restaurant,4bab6466f964a520d1a53ae3
17117,Sporting Goods Retail,4dc9a6b27d8b296263cbcab0
13298,Lebanese Restaurant,4c86978ad4e23704cba08c88
13068,American Restaurant,54b903e2498ef9e5ee12cd75
13134,Comfort Food Restaurant,54b903e2498ef9e5ee12cd75
13145,Fast Food Restaurant,54b903e2498ef9e5ee12cd75
13000,Dining and Drinking,4f4e30fbe4b00b42c51380dd
13145,Fast Food Restaurant,4d62b6a59f67f04d944192fb
13276,Sushi Restaurant,4d62b6a59f67f04d944192fb
13152,Brasserie,4bd3228bcaff95212412d4f0
13064,Pizzeria,4bb2541beb3e9521f0e0c90a
13145,Fast Food Restaurant,4bb2541beb3e9521f0e0c90a
13236,Italian Restaurant,4bb2541beb3e9521f0e0c90a
13352,Thai Restaurant,5167066be4b0639d02f821b5
17061,Cheese Store,4c87cd8c0dcb8cfae80a3e68
13003,Bar,52332e62498e03027314ed19
13343,South American Restaurant,52332e62498e03027314ed19
18036,Martial Arts Dojo,4e7a2f0a2271920e47665738
13003,Bar,545b600a498eb1e8714d1b39
13034,Café,545b600a498eb1e8714d1b39
13065,Restaurant,545b600a498eb1e8714d1b39
13002,Bakery,4adcda09f964a520113421e3
16032,Park,4adcda09f964a520113421e3
13347,Tapas Restaurant,4adcda08f964a5209f3321e3
13148,French Restaurant,4ccd61152dc437044bfacd08
13276,Sushi Restaurant,4b8bc134f964a520bba932e3
16032,Park,4c122dfa82a3c9b6ac2ff9f8
10009,Circus,4c9baa5cceef236a32a8054c
10024,Movie Theater,5006c880e4b065de569ef17c
13067,African Restaurant,4d4877df9b63cbffe55cb108
13145,Fast Food Restaurant,4d4877df9b63cbffe55cb108
13383,Steakhouse,4bf1033624f19c740b52f983
13099,Chinese Restaurant,4b6ddb6cf964a5203d962ce3
16032,Park,4adcda0cf964a520c33421e3
18021,Gym and Studio,4c34b94966e40f47bf02ca8b
10039,Music Venue,4adcda18f964a5207b3821e3
10043,Theater,4adcda18f964a5207b3821e3
13152,Brasserie,4adcda18f964a5207b3821e3
18047,Tennis Court,4bb8461198c7ef3b39013102
13152,Brasserie,4d020d280dae37040475c742
13148,French Restaurant,4bbf5eb1f353d13acc7b7e10
13302,Mediterranean Restaurant,4bbf5eb1f353d13acc7b7e10
16041,Plaza,4da2c514bf22a143d5bcb8f8
13099,Chinese Restaurant,50bfa40ae4b0e1f6a90b3b60
13263,Japanese Restaurant,50bfa40ae4b0e1f6a90b3b60
13303,Mexican Restaurant,50bfa40ae4b0e1f6a90b3b60
13145,Fast Food Restaurant,5e5a2c3865828b0008b7e972
17069,Grocery Store,54f5ff50498e26ac1f52bfaa
11092,Landscaper and Gardener,4c03766ff423a593af4bd016
18021,Gym and Studio,4ce078f33644a093ad30589f
12005,Cultural Center,524d038211d2f0888cd22589
10037,Concert Hall,4adcda1af964a520cf3821e3
10039,Music Venue,4adcda1af964a520cf3821e3
10043,Theater,4adcda1af964a520cf3821e3
13276,Sushi Restaurant,4df8f19f18a801cd9f14a0bf
13030,Buffet,4dd6b947d22d38ef42d6b729
13263,Japanese Restaurant,4dd6b947d22d38ef42d6b729
13303,Mexican Restaurant,4b92b58df964a520e11334e3
12075,Post Office,4c2f029466e40f471237c18b
12075,Post Office,4c2b24cd57a9c9b60563f567
13145,Fast Food Restaurant,58c2fef3c45ee3572ec78119
13263,Japanese Restaurant,58c2fef3c45ee3572ec78119
16032,Park,a07513604f264d29d839da7c
13152,Brasserie,5e77c8952c4e740007a5bdfc
12058,Elementary School,45f66d68b0e04950de4bb252
17006,Car Dealership,5b44b6c0dd8442002ce18492
13031,Burger Joint,5ff099b17c1293281aa3f134
16017,Garden,4adcda09f964a520fe3321e3
13013,Hotel Bar,4f52b281e4b0d3a8f5068bd1
13065,Restaurant,4f52b281e4b0d3a8f5068bd1
10027,Museum,6228822b64d192560a61f964
17080,Wine Store,51eaf458498e71cde524700b
13148,French Restaurant,4b98e0e3f964a520d55335e3
13002,Bakery,54de1b4f498e372eef504e57
13040,Dessert Shop,54de1b4f498e372eef504e57
13065,Restaurant,54de1b4f498e372eef504e57
10037,Concert Hall,4bc991343740b713d4ea5e65
10039,Music Venue,4bc991343740b713d4ea5e65
10043,Theater,4bc991343740b713d4ea5e65
13034,Café,4ef8d66d469012b8c2268748
13003,Bar,4ef8d66d469012b8c2268748
13000,Dining and Drinking,4ef8d66d469012b8c2268748
13145,Fast Food Restaurant,54dd4f8f498e62876939b098
13148,French Restaurant,54dd4f8f498e62876939b098
13347,Tapas Restaurant,54dd4f8f498e62876939b098
10039,Music Venue,4adcda07f964a5201a3321e3
13003,Bar,4adcda07f964a5201a3321e3
13152,Brasserie,4adcda07f964a5201a3321e3
13003,Bar,4b59b17af964a520289328e3
13148,French Restaurant,4b59b17af964a520289328e3
13006,Beer Bar,593aed9ff0b490219460dd87
13347,Tapas Restaurant,56a2b516498e75b5086629d6
13356,Turkish Restaurant,56a2b516498e75b5086629d6
16032,Park,4adcda0af964a520253421e3
13006,Beer Bar,57054c44498ed5a375ce4b86
13057,Gastropub,57054c44498ed5a375ce4b86
10026,Indie Movie Theater,4b0ec8cdf964a520fb5a23e3
10027,Museum,5113ebbce4b0d3c1022aef14
17080,Wine Store,4b894a17f964a520de2832e3
